algorithm,generator,preprocessor,iteration,point_count,query_count,dim,block_size,k,items_per_thread,deg,phase,time,hostname,jobid,source_csv,dataset
bits (random data),uniform,identity,19,16777216,64,1,512,512,"1,1,1",1,selection,0.024537751,ampere02,35760917,data/buffer-ampere02-35760917.csv,random
sort-in-registers (any data),uniform,identity,10,16777216,64,1,512,1024,"1,1,1",1,selection,0.130052772,ampere02,35760917,data/buffer-ampere02-35760917.csv,random
sort-in-registers (any data),uniform,identity,11,16777216,64,1,512,1024,"1,1,1",1,selection,0.130055957,ampere02,35760917,data/buffer-ampere02-35760917.csv,random
sort-in-registers (any data),uniform,identity,12,16777216,64,1,512,1024,"1,1,1",1,selection,0.130069076,ampere02,35760917,data/buffer-ampere02-35760917.csv,random
sort-in-registers (any data),uniform,identity,13,16777216,64,1,512,1024,"1,1,1",1,selection,0.130061505,ampere02,35760917,data/buffer-ampere02-35760917.csv,random
sort-in-registers (any data),uniform,identity,14,16777216,64,1,512,1024,"1,1,1",1,selection,0.130052832,ampere02,35760917,data/buffer-ampere02-35760917.csv,random
sort-in-registers (any data),uniform,identity,15,16777216,64,1,512,1024,"1,1,1",1,selection,0.130059592,ampere02,35760917,data/buffer-ampere02-35760917.csv,random
sort-in-registers (any data),uniform,identity,16,16777216,64,1,512,1024,"1,1,1",1,selection,0.130063338,ampere02,35760917,data/buffer-ampere02-35760917.csv,random
sort-in-registers (any data),uniform,identity,17,16777216,64,1,512,1024,"1,1,1",1,selection,0.130066713,ampere02,35760917,data/buffer-ampere02-35760917.csv,random
sort-in-registers (any data),uniform,identity,18,16777216,64,1,512,1024,"1,1,1",1,selection,0.13006447,ampere02,35760917,data/buffer-ampere02-35760917.csv,random
sort-in-registers (any data),uniform,identity,19,16777216,64,1,512,1024,"1,1,1",1,selection,0.130051119,ampere02,35760917,data/buffer-ampere02-35760917.csv,random
bits (random data),uniform,identity,10,16777216,64,1,512,1024,"1,1,1",1,selection,0.023544085,ampere02,35760917,data/buffer-ampere02-35760917.csv,random
bits (random data),uniform,identity,11,16777216,64,1,512,1024,"1,1,1",1,selection,0.023512878,ampere02,35760917,data/buffer-ampere02-35760917.csv,random
bits (random data),uniform,identity,12,16777216,64,1,512,1024,"1,1,1",1,selection,0.023508562,ampere02,35760917,data/buffer-ampere02-35760917.csv,random
bits (random data),uniform,identity,13,16777216,64,1,512,1024,"1,1,1",1,selection,0.023517745,ampere02,35760917,data/buffer-ampere02-35760917.csv,random
bits (random data),uniform,identity,14,16777216,64,1,512,1024,"1,1,1",1,selection,0.023512317,ampere02,35760917,data/buffer-ampere02-35760917.csv,random
bits (random data),uniform,identity,15,16777216,64,1,512,1024,"1,1,1",1,selection,0.023518116,ampere02,35760917,data/buffer-ampere02-35760917.csv,random
bits (random data),uniform,identity,16,16777216,64,1,512,1024,"1,1,1",1,selection,0.023520799,ampere02,35760917,data/buffer-ampere02-35760917.csv,random
bits (random data),uniform,identity,17,16777216,64,1,512,1024,"1,1,1",1,selection,0.023519037,ampere02,35760917,data/buffer-ampere02-35760917.csv,random
bits (random data),uniform,identity,18,16777216,64,1,512,1024,"1,1,1",1,selection,0.02352703,ampere02,35760917,data/buffer-ampere02-35760917.csv,random
bits (random data),uniform,identity,19,16777216,64,1,512,1024,"1,1,1",1,selection,0.023532467,ampere02,35760917,data/buffer-ampere02-35760917.csv,random
sort-in-registers (any data),uniform,identity,10,16777216,64,1,512,2048,"1,1,1",1,selection,0.128196138,ampere02,35760917,data/buffer-ampere02-35760917.csv,random
sort-in-registers (any data),uniform,identity,11,16777216,64,1,512,2048,"1,1,1",1,selection,0.12819044,ampere02,35760917,data/buffer-ampere02-35760917.csv,random
sort-in-registers (any data),uniform,identity,12,16777216,64,1,512,2048,"1,1,1",1,selection,0.128198552,ampere02,35760917,data/buffer-ampere02-35760917.csv,random
sort-in-registers (any data),uniform,identity,13,16777216,64,1,512,2048,"1,1,1",1,selection,0.128198893,ampere02,35760917,data/buffer-ampere02-35760917.csv,random
