algorithm,generator,preprocessor,iteration,point_count,query_count,dim,block_size,k,items_per_thread,deg,phase,time,hostname,jobid,dataset
sort-in-registers (any data),uniform,ascending,15,4194304,256,1,256,32,"1,1,1",1,selection,0.059360826,hopper01,108407,ascending
sort-in-registers (any data),uniform,ascending,16,4194304,256,1,256,32,"1,1,1",1,selection,0.05936347,hopper01,108407,ascending
sort-in-registers (any data),uniform,ascending,17,4194304,256,1,256,32,"1,1,1",1,selection,0.059352853,hopper01,108407,ascending
sort-in-registers (any data),uniform,ascending,18,4194304,256,1,256,32,"1,1,1",1,selection,0.059341146,hopper01,108407,ascending
sort-in-registers (any data),uniform,ascending,19,4194304,256,1,256,32,"1,1,1",1,selection,0.059349439,hopper01,108407,ascending
bits (ascending data),uniform,ascending,10,4194304,256,1,256,32,"1,1,1",1,selection,0.010732488,hopper01,108407,ascending
bits (ascending data),uniform,ascending,11,4194304,256,1,256,32,"1,1,1",1,selection,0.010748552,hopper01,108407,ascending
bits (ascending data),uniform,ascending,12,4194304,256,1,256,32,"1,1,1",1,selection,0.010756794,hopper01,108407,ascending
bits (ascending data),uniform,ascending,13,4194304,256,1,256,32,"1,1,1",1,selection,0.010745878,hopper01,108407,ascending
bits (ascending data),uniform,ascending,14,4194304,256,1,256,32,"1,1,1",1,selection,0.010738907,hopper01,108407,ascending
bits (ascending data),uniform,ascending,15,4194304,256,1,256,32,"1,1,1",1,selection,0.010739318,hopper01,108407,ascending
bits (ascending data),uniform,ascending,16,4194304,256,1,256,32,"1,1,1",1,selection,0.010725887,hopper01,108407,ascending
bits (ascending data),uniform,ascending,17,4194304,256,1,256,32,"1,1,1",1,selection,0.01072735,hopper01,108407,ascending
bits (ascending data),uniform,ascending,18,4194304,256,1,256,32,"1,1,1",1,selection,0.010739638,hopper01,108407,ascending
bits (ascending data),uniform,ascending,19,4194304,256,1,256,32,"1,1,1",1,selection,0.010747209,hopper01,108407,ascending
sort-in-registers (any data),uniform,ascending,10,4194304,256,1,256,64,"1,1,1",1,selection,0.059352894,hopper01,108407,ascending
sort-in-registers (any data),uniform,ascending,11,4194304,256,1,256,64,"1,1,1",1,selection,0.059445916,hopper01,108407,ascending
sort-in-registers (any data),uniform,ascending,12,4194304,256,1,256,64,"1,1,1",1,selection,0.059590746,hopper01,108407,ascending
sort-in-registers (any data),uniform,ascending,13,4194304,256,1,256,64,"1,1,1",1,selection,0.05937651,hopper01,108407,ascending
sort-in-registers (any data),uniform,ascending,14,4194304,256,1,256,64,"1,1,1",1,selection,0.059401317,hopper01,108407,ascending
sort-in-registers (any data),uniform,ascending,15,4194304,256,1,256,64,"1,1,1",1,selection,0.059569123,hopper01,108407,ascending
sort-in-registers (any data),uniform,ascending,16,4194304,256,1,256,64,"1,1,1",1,selection,0.059432144,hopper01,108407,ascending
sort-in-registers (any data),uniform,ascending,17,4194304,256,1,256,64,"1,1,1",1,selection,0.059345983,hopper01,108407,ascending
sort-in-registers (any data),uniform,ascending,18,4194304,256,1,256,64,"1,1,1",1,selection,0.059575223,hopper01,108407,ascending
sort-in-registers (any data),uniform,ascending,19,4194304,256,1,256,64,"1,1,1",1,selection,0.059478786,hopper01,108407,ascending
bits (ascending data),uniform,ascending,10,4194304,256,1,256,64,"1,1,1",1,selection,0.010738346,hopper01,108407,ascending
bits (ascending data),uniform,ascending,11,4194304,256,1,256,64,"1,1,1",1,selection,0.010739187,hopper01,108407,ascending
bits (ascending data),uniform,ascending,12,4194304,256,1,256,64,"1,1,1",1,selection,0.010737766,hopper01,108407,ascending
bits (ascending data),uniform,ascending,13,4194304,256,1,256,64,"1,1,1",1,selection,0.010745316,hopper01,108407,ascending
bits (ascending data),uniform,ascending,14,4194304,256,1,256,64,"1,1,1",1,selection,0.010744756,hopper01,108407,ascending
bits (ascending data),uniform,ascending,15,4194304,256,1,256,64,"1,1,1",1,selection,0.010730935,hopper01,108407,ascending
bits (ascending data),uniform,ascending,16,4194304,256,1,256,64,"1,1,1",1,selection,0.010731315,hopper01,108407,ascending
bits (ascending data),uniform,ascending,17,4194304,256,1,256,64,"1,1,1",1,selection,0.010738717,hopper01,108407,ascending
bits (ascending data),uniform,ascending,18,4194304,256,1,256,64,"1,1,1",1,selection,0.010726068,hopper01,108407,ascending
bits (ascending data),uniform,ascending,19,4194304,256,1,256,64,"1,1,1",1,selection,0.010750274,hopper01,108407,ascending
sort-in-registers (any data),uniform,ascending,10,4194304,256,1,256,128,"1,1,1",1,selection,0.059457753,hopper01,108407,ascending
sort-in-registers (any data),uniform,ascending,11,4194304,256,1,256,128,"1,1,1",1,selection,0.059357591,hopper01,108407,ascending
sort-in-registers (any data),uniform,ascending,12,4194304,256,1,256,128,"1,1,1",1,selection,0.059562854,hopper01,108407,ascending
sort-in-registers (any data),uniform,ascending,13,4194304,256,1,256,128,"1,1,1",1,selection,0.059498055,hopper01,108407,ascending
sort-in-registers (any data),uniform,ascending,14,4194304,256,1,256,128,"1,1,1",1,selection,0.059362778,hopper01,108407,ascending
sort-in-registers (any data),uniform,ascending,15,4194304,256,1,256,128,"1,1,1",1,selection,0.059541382,hopper01,108407,ascending
sort-in-registers (any data),uniform,ascending,16,4194304,256,1,256,128,"1,1,1",1,selection,0.059548923,hopper01,108407,ascending
sort-in-registers (any data),uniform,ascending,17,4194304,256,1,256,128,"1,1,1",1,selection,0.059352222,hopper01,108407,ascending
