algorithm,generator,preprocessor,iteration,point_count,query_count,dim,block_size,k,items_per_thread,deg,phase,time,hostname,jobid,source_csv,dataset
bits (random data),uniform,identity,17,16777216,64,1,512,2048,"1,1,1",1,selection,0.023367978,hopper01,35760903,data/buffer-hopper01-35760903.csv,random
bits (random data),uniform,identity,18,16777216,64,1,512,2048,"1,1,1",1,selection,0.02338223,hopper01,35760903,data/buffer-hopper01-35760903.csv,random
bits (random data),uniform,identity,19,16777216,64,1,512,2048,"1,1,1",1,selection,0.023386137,hopper01,35760903,data/buffer-hopper01-35760903.csv,random
sort-in-registers (any data),uniform,identity,10,4194304,256,1,256,32,"1,1,1",1,selection,0.058883674,hopper01,35760903,data/buffer-hopper01-35760903.csv,random
sort-in-registers (any data),uniform,identity,11,4194304,256,1,256,32,"1,1,1",1,selection,0.058916344,hopper01,35760903,data/buffer-hopper01-35760903.csv,random
sort-in-registers (any data),uniform,identity,12,4194304,256,1,256,32,"1,1,1",1,selection,0.058898277,hopper01,35760903,data/buffer-hopper01-35760903.csv,random
sort-in-registers (any data),uniform,identity,13,4194304,256,1,256,32,"1,1,1",1,selection,0.05888678,hopper01,35760903,data/buffer-hopper01-35760903.csv,random
sort-in-registers (any data),uniform,identity,14,4194304,256,1,256,32,"1,1,1",1,selection,0.05891973,hopper01,35760903,data/buffer-hopper01-35760903.csv,random
sort-in-registers (any data),uniform,identity,15,4194304,256,1,256,32,"1,1,1",1,selection,0.058905307,hopper01,35760903,data/buffer-hopper01-35760903.csv,random
sort-in-registers (any data),uniform,identity,16,4194304,256,1,256,32,"1,1,1",1,selection,0.058917375,hopper01,35760903,data/buffer-hopper01-35760903.csv,random
sort-in-registers (any data),uniform,identity,17,4194304,256,1,256,32,"1,1,1",1,selection,0.058893609,hopper01,35760903,data/buffer-hopper01-35760903.csv,random
sort-in-registers (any data),uniform,identity,18,4194304,256,1,256,32,"1,1,1",1,selection,0.058903034,hopper01,35760903,data/buffer-hopper01-35760903.csv,random
sort-in-registers (any data),uniform,identity,19,4194304,256,1,256,32,"1,1,1",1,selection,0.058915303,hopper01,35760903,data/buffer-hopper01-35760903.csv,random
bits (random data),uniform,identity,10,4194304,256,1,256,32,"1,1,1",1,selection,0.010481044,hopper01,35760903,data/buffer-hopper01-35760903.csv,random
bits (random data),uniform,identity,11,4194304,256,1,256,32,"1,1,1",1,selection,0.010474814,hopper01,35760903,data/buffer-hopper01-35760903.csv,random
bits (random data),uniform,identity,12,4194304,256,1,256,32,"1,1,1",1,selection,0.010473603,hopper01,35760903,data/buffer-hopper01-35760903.csv,random
bits (random data),uniform,identity,13,4194304,256,1,256,32,"1,1,1",1,selection,0.01047182,hopper01,35760903,data/buffer-hopper01-35760903.csv,random
bits (random data),uniform,identity,14,4194304,256,1,256,32,"1,1,1",1,selection,0.010470127,hopper01,35760903,data/buffer-hopper01-35760903.csv,random
bits (random data),uniform,identity,15,4194304,256,1,256,32,"1,1,1",1,selection,0.010477158,hopper01,35760903,data/buffer-hopper01-35760903.csv,random
bits (random data),uniform,identity,16,4194304,256,1,256,32,"1,1,1",1,selection,0.010484489,hopper01,35760903,data/buffer-hopper01-35760903.csv,random
bits (random data),uniform,identity,17,4194304,256,1,256,32,"1,1,1",1,selection,0.010481744,hopper01,35760903,data/buffer-hopper01-35760903.csv,random
bits (random data),uniform,identity,18,4194304,256,1,256,32,"1,1,1",1,selection,0.010487845,hopper01,35760903,data/buffer-hopper01-35760903.csv,random
bits (random data),uniform,identity,19,4194304,256,1,256,32,"1,1,1",1,selection,0.010481344,hopper01,35760903,data/buffer-hopper01-35760903.csv,random
sort-in-registers (any data),uniform,identity,10,4194304,256,1,256,64,"1,1,1",1,selection,0.058893039,hopper01,35760903,data/buffer-hopper01-35760903.csv,random
sort-in-registers (any data),uniform,identity,11,4194304,256,1,256,64,"1,1,1",1,selection,0.058916825,hopper01,35760903,data/buffer-hopper01-35760903.csv,random
sort-in-registers (any data),uniform,identity,12,4194304,256,1,256,64,"1,1,1",1,selection,0.058901532,hopper01,35760903,data/buffer-hopper01-35760903.csv,random
sort-in-registers (any data),uniform,identity,13,4194304,256,1,256,64,"1,1,1",1,selection,0.058912769,hopper01,35760903,data/buffer-hopper01-35760903.csv,random
sort-in-registers (any data),uniform,identity,14,4194304,256,1,256,64,"1,1,1",1,selection,0.05891316,hopper01,35760903,data/buffer-hopper01-35760903.csv,random
sort-in-registers (any data),uniform,identity,15,4194304,256,1,256,64,"1,1,1",1,selection,0.058899839,hopper01,35760903,data/buffer-hopper01-35760903.csv,random
sort-in-registers (any data),uniform,identity,16,4194304,256,1,256,64,"1,1,1",1,selection,0.058915953,hopper01,35760903,data/buffer-hopper01-35760903.csv,random
sort-in-registers (any data),uniform,identity,17,4194304,256,1,256,64,"1,1,1",1,selection,0.058918408,hopper01,35760903,data/buffer-hopper01-35760903.csv,random
sort-in-registers (any data),uniform,identity,18,4194304,256,1,256,64,"1,1,1",1,selection,0.058915904,hopper01,35760903,data/buffer-hopper01-35760903.csv,random
sort-in-registers (any data),uniform,identity,19,4194304,256,1,256,64,"1,1,1",1,selection,0.058899398,hopper01,35760903,data/buffer-hopper01-35760903.csv,random
bits (random data),uniform,identity,10,4194304,256,1,256,64,"1,1,1",1,selection,0.010489807,hopper01,35760903,data/buffer-hopper01-35760903.csv,random
bits (random data),uniform,identity,11,4194304,256,1,256,64,"1,1,1",1,selection,0.010500544,hopper01,35760903,data/buffer-hopper01-35760903.csv,random
bits (random data),uniform,identity,12,4194304,256,1,256,64,"1,1,1",1,selection,0.01050483,hopper01,35760903,data/buffer-hopper01-35760903.csv,random
bits (random data),uniform,identity,13,4194304,256,1,256,64,"1,1,1",1,selection,0.010510268,hopper01,35760903,data/buffer-hopper01-35760903.csv,random
bits (random data),uniform,identity,14,4194304,256,1,256,64,"1,1,1",1,selection,0.010508646,hopper01,35760903,data/buffer-hopper01-35760903.csv,random
bits (random data),uniform,identity,15,4194304,256,1,256,64,"1,1,1",1,selection,0.010497028,hopper01,35760903,data/buffer-hopper01-35760903.csv,random
