algorithm,generator,preprocessor,iteration,point_count,query_count,dim,block_size,k,items_per_thread,deg,phase,time,hostname,jobid,dataset
sort-in-registers (any data),uniform,identity,15,4194304,256,1,256,128,"1,1,1",1,selection,0.068771859,volta05,108414,random
sort-in-registers (any data),uniform,identity,16,4194304,256,1,256,128,"1,1,1",1,selection,0.068788019,volta05,108414,random
sort-in-registers (any data),uniform,identity,17,4194304,256,1,256,128,"1,1,1",1,selection,0.068812407,volta05,108414,random
sort-in-registers (any data),uniform,identity,18,4194304,256,1,256,128,"1,1,1",1,selection,0.068776942,volta05,108414,random
sort-in-registers (any data),uniform,identity,19,4194304,256,1,256,128,"1,1,1",1,selection,0.068781234,volta05,108414,random
bits (random data),uniform,identity,10,4194304,256,1,256,128,"1,1,1",1,selection,0.011807669,volta05,108414,random
bits (random data),uniform,identity,11,4194304,256,1,256,128,"1,1,1",1,selection,0.011828665,volta05,108414,random
bits (random data),uniform,identity,12,4194304,256,1,256,128,"1,1,1",1,selection,0.011792188,volta05,108414,random
bits (random data),uniform,identity,13,4194304,256,1,256,128,"1,1,1",1,selection,0.011765256,volta05,108414,random
bits (random data),uniform,identity,14,4194304,256,1,256,128,"1,1,1",1,selection,0.011812755,volta05,108414,random
bits (random data),uniform,identity,15,4194304,256,1,256,128,"1,1,1",1,selection,0.01181372,volta05,108414,random
bits (random data),uniform,identity,16,4194304,256,1,256,128,"1,1,1",1,selection,0.011785372,volta05,108414,random
bits (random data),uniform,identity,17,4194304,256,1,256,128,"1,1,1",1,selection,0.011815402,volta05,108414,random
bits (random data),uniform,identity,18,4194304,256,1,256,128,"1,1,1",1,selection,0.011808025,volta05,108414,random
bits (random data),uniform,identity,19,4194304,256,1,256,128,"1,1,1",1,selection,0.011789497,volta05,108414,random
sort-in-registers (any data),uniform,identity,10,4194304,256,1,128,256,"1,1,1",1,selection,0.063476382,volta05,108414,random
sort-in-registers (any data),uniform,identity,11,4194304,256,1,128,256,"1,1,1",1,selection,0.063462945,volta05,108414,random
sort-in-registers (any data),uniform,identity,12,4194304,256,1,128,256,"1,1,1",1,selection,0.063467313,volta05,108414,random
sort-in-registers (any data),uniform,identity,13,4194304,256,1,128,256,"1,1,1",1,selection,0.063463171,volta05,108414,random
sort-in-registers (any data),uniform,identity,14,4194304,256,1,128,256,"1,1,1",1,selection,0.063457123,volta05,108414,random
sort-in-registers (any data),uniform,identity,15,4194304,256,1,128,256,"1,1,1",1,selection,0.063458574,volta05,108414,random
sort-in-registers (any data),uniform,identity,16,4194304,256,1,128,256,"1,1,1",1,selection,0.063453399,volta05,108414,random
sort-in-registers (any data),uniform,identity,17,4194304,256,1,128,256,"1,1,1",1,selection,0.063455788,volta05,108414,random
sort-in-registers (any data),uniform,identity,18,4194304,256,1,128,256,"1,1,1",1,selection,0.063450926,volta05,108414,random
sort-in-registers (any data),uniform,identity,19,4194304,256,1,128,256,"1,1,1",1,selection,0.063442288,volta05,108414,random
bits (random data),uniform,identity,10,4194304,256,1,256,256,"1,1,1",1,selection,0.011841963,volta05,108414,random
bits (random data),uniform,identity,11,4194304,256,1,256,256,"1,1,1",1,selection,0.011883368,volta05,108414,random
bits (random data),uniform,identity,12,4194304,256,1,256,256,"1,1,1",1,selection,0.01182805,volta05,108414,random
bits (random data),uniform,identity,13,4194304,256,1,256,256,"1,1,1",1,selection,0.011815545,volta05,108414,random
bits (random data),uniform,identity,14,4194304,256,1,256,256,"1,1,1",1,selection,0.011863229,volta05,108414,random
bits (random data),uniform,identity,15,4194304,256,1,256,256,"1,1,1",1,selection,0.011862197,volta05,108414,random
bits (random data),uniform,identity,16,4194304,256,1,256,256,"1,1,1",1,selection,0.011853313,volta05,108414,random
bits (random data),uniform,identity,17,4194304,256,1,256,256,"1,1,1",1,selection,0.011844947,volta05,108414,random
bits (random data),uniform,identity,18,4194304,256,1,256,256,"1,1,1",1,selection,0.011848729,volta05,108414,random
bits (random data),uniform,identity,19,4194304,256,1,256,256,"1,1,1",1,selection,0.011851965,volta05,108414,random
sort-in-registers (any data),uniform,identity,10,4194304,256,1,256,512,"1,1,1",1,selection,0.068329768,volta05,108414,random
sort-in-registers (any data),uniform,identity,11,4194304,256,1,256,512,"1,1,1",1,selection,0.068343026,volta05,108414,random
sort-in-registers (any data),uniform,identity,12,4194304,256,1,256,512,"1,1,1",1,selection,0.06835253,volta05,108414,random
sort-in-registers (any data),uniform,identity,13,4194304,256,1,256,512,"1,1,1",1,selection,0.068351751,volta05,108414,random
sort-in-registers (any data),uniform,identity,14,4194304,256,1,256,512,"1,1,1",1,selection,0.068364623,volta05,108414,random
sort-in-registers (any data),uniform,identity,15,4194304,256,1,256,512,"1,1,1",1,selection,0.068344261,volta05,108414,random
sort-in-registers (any data),uniform,identity,16,4194304,256,1,256,512,"1,1,1",1,selection,0.068344844,volta05,108414,random
sort-in-registers (any data),uniform,identity,17,4194304,256,1,256,512,"1,1,1",1,selection,0.068337675,volta05,108414,random
sort-in-registers (any data),uniform,identity,18,4194304,256,1,256,512,"1,1,1",1,selection,0.06834128,volta05,108414,random
sort-in-registers (any data),uniform,identity,19,4194304,256,1,256,512,"1,1,1",1,selection,0.068343779,volta05,108414,random
bits (random data),uniform,identity,10,4194304,256,1,256,512,"1,1,1",1,selection,0.011629356,volta05,108414,random
bits (random data),uniform,identity,11,4194304,256,1,256,512,"1,1,1",1,selection,0.011584678,volta05,108414,random
bits (random data),uniform,identity,12,4194304,256,1,256,512,"1,1,1",1,selection,0.011615835,volta05,108414,random
bits (random data),uniform,identity,13,4194304,256,1,256,512,"1,1,1",1,selection,0.011615212,volta05,108414,random
bits (random data),uniform,identity,14,4194304,256,1,256,512,"1,1,1",1,selection,0.011616426,volta05,108414,random
bits (random data),uniform,identity,15,4194304,256,1,256,512,"1,1,1",1,selection,0.011595026,volta05,108414,random
bits (random data),uniform,identity,16,4194304,256,1,256,512,"1,1,1",1,selection,0.011626395,volta05,108414,random
bits (random data),uniform,identity,17,4194304,256,1,256,512,"1,1,1",1,selection,0.011620479,volta05,108414,random
bits (random data),uniform,identity,18,4194304,256,1,256,512,"1,1,1",1,selection,0.011617846,volta05,108414,random
bits (random data),uniform,identity,19,4194304,256,1,256,512,"1,1,1",1,selection,0.011612348,volta05,108414,random
sort-in-registers (any data),uniform,identity,10,4194304,256,1,256,1024,"1,1,1",1,selection,0.069443593,volta05,108414,random
sort-in-registers (any data),uniform,identity,11,4194304,256,1,256,1024,"1,1,1",1,selection,0.069443525,volta05,108414,random
