k,query_count,point_count,algorithm,dim,time,throughput
64,8192,131072,bits-fused,8,0.0029905582,359043948383.9505
64,8192,131072,bits-fused,16,0.004353905999999999,246615756977.75748
64,8192,131072,raftL2-fused,4,0.013669049999999999,78552776089.0479
64,8192,131072,raftL2-fused,8,0.0137296265,78206193300.30573
64,8192,131072,raftL2-fused,16,0.0136942051,78408481263.36299
128,1024,1048576,bits + MAGMA,4,0.0073970246000000005,145158612018.13495
128,1024,1048576,bits + MAGMA,8,0.007522955100000001,142728729565.3273
128,1024,1048576,bits + MAGMA,16,0.007738400500000001,138755008092.4346
128,1024,1048576,bits + zero computation,4,0.0047927759836119185,224033384341.65866
128,1024,1048576,bits + zero computation,8,0.004809729104691537,223243721346.51904
128,1024,1048576,bits + zero computation,16,0.0048367583468507756,221996169128.25833
128,1024,1048576,bits-fused,4,0.0036339143999999995,295478017864.1523
128,1024,1048576,bits-fused,8,0.0052637558000000004,203987773140.9956
128,1024,1048576,bits-fused,16,0.0083197494,129059394986.10379
128,2048,524288,bits + MAGMA,4,0.0073610829000000004,145867372856.24103
128,2048,524288,bits + MAGMA,8,0.0074325983,144463857814.02985
128,2048,524288,bits + MAGMA,16,0.007390678,145283264133.5477
128,2048,524288,bits + zero computation,4,0.004751280701590762,225989978584.19598
128,2048,524288,bits + zero computation,8,0.004755424040649225,225793076457.8903
128,2048,524288,bits + zero computation,16,0.00475293441876615,225911348526.18918
128,2048,524288,bits-fused,4,0.0030277328,354635595320.6968
128,2048,524288,bits-fused,8,0.0041456265,259005924436.27036
128,2048,524288,bits-fused,16,0.0064478389,166527396334.29736
128,4096,262144,bits + MAGMA,4,0.007027230099999999,152797305441.86963
128,4096,262144,bits + MAGMA,8,0.007323648800000001,146612959376.20602
128,4096,262144,bits + MAGMA,16,0.0075225464999999995,142736482120.78186
128,4096,262144,bits + zero computation,4,0.004758041039098837,225668886665.03903
128,4096,262144,bits + zero computation,8,0.004782948715665375,224493693708.9085
128,4096,262144,bits + zero computation,16,0.004799070768798449,223739527031.15366
128,4096,262144,bits-fused,4,0.0026169011,410310433206.6657
128,4096,262144,bits-fused,8,0.0034538764,310880211000.0231
128,4096,262144,bits-fused,16,0.005138189699999999,208972787439.12476
128,8192,131072,bits + MAGMA,4,0.0070559465,152175448609.19794
128,8192,131072,bits + MAGMA,8,0.0071042647,151140458491.08072
128,8192,131072,bits + MAGMA,16,0.007223238,148651037664.82565
128,8192,131072,bits + zero computation,4,0.004782200314890181,224528826334.75748
128,8192,131072,bits + zero computation,8,0.004785742467248061,224362642024.36957
128,8192,131072,bits + zero computation,16,0.004791699071963825,224083734782.6058
128,8192,131072,bits-fused,4,0.0025681654,418096834417.2848
128,8192,131072,bits-fused,8,0.0032873527999999997,326628107576.4062
128,8192,131072,bits-fused,16,0.0047084493,228045744062.70023
256,1024,1048576,bits + MAGMA,4,0.0074249774,144612133634.2384
256,1024,1048576,bits + MAGMA,8,0.0072786126000000005,147520122722.28912
256,1024,1048576,bits + MAGMA,16,0.007445939699999999,144205012028.23334
256,1024,1048576,bits + zero computation,4,0.004824852483611918,222543969509.34125
256,1024,1048576,bits + zero computation,8,0.004815777304691537,222963346530.57135
256,1024,1048576,bits + zero computation,16,0.004836746546850775,221996710722.64838
256,1024,1048576,bits-fused,4,0.0036718357,292426435093.4874
256,1024,1048576,bits-fused,8,0.0055366682,193932846472.54102
256,1024,1048576,bits-fused,16,0.008951163199999999,119955563317.17873
256,2048,524288,bits + MAGMA,4,0.0073053514,146980174560.8021
256,2048,524288,bits + MAGMA,8,0.007430540300000001,144503869254.29904
256,2048,524288,bits + MAGMA,16,0.0073443502,146199703821.31287
256,2048,524288,bits + zero computation,4,0.004760038901590762,225574169917.2175
256,2048,524288,bits + zero computation,8,0.004773037840649225,224959838963.6799
256,2048,524288,bits + zero computation,16,0.0047725459187661495,224983026308.43945
256,2048,524288,bits-fused,4,0.0030667056999999997,350128746948.2318
256,2048,524288,bits-fused,8,0.0042016283,255553739487.1412
256,2048,524288,bits-fused,16,0.007322730599999999,146631343231.4443
256,4096,262144,bits + MAGMA,4,0.007045867,152393143952.33405
256,4096,262144,bits + MAGMA,8,0.0070910329,151422485150.22403
256,4096,262144,bits + MAGMA,16,0.0074618066999999995,143898370350.44073
256,4096,262144,bits + zero computation,4,0.004775681539098837,224835306795.31308
256,4096,262144,bits + zero computation,8,0.004780484215665374,224609427739.85306
256,4096,262144,bits + zero computation,16,0.004816461068798449,222931693760.76028
256,4096,262144,bits-fused,4,0.002941369,365048324096.7046
256,4096,262144,bits-fused,8,0.0038247402999999998,280735877413.69006
256,4096,262144,bits-fused,16,0.0056887099,188749618608.6058
256,8192,131072,bits + MAGMA,4,0.0072292403,148527615550.4196
256,8192,131072,bits + MAGMA,8,0.0072629123,147839018240.65808
256,8192,131072,bits + MAGMA,16,0.0073570289,145947751272.25613
256,8192,131072,bits + zero computation,4,0.004945831214890181,217100377539.64108
256,8192,131072,bits + zero computation,8,0.0049477538672480625,217016014298.46683
256,8192,131072,bits + zero computation,16,0.004945612471963824,217109979822.91043
256,8192,131072,bits-fused,4,0.0032470569000000006,330681554733.45715
256,8192,131072,bits-fused,8,0.0041722201,257355028801.0932
256,8192,131072,bits-fused,16,0.0059278152,181136183867.54025
