k,query_count,point_count,algorithm,dim,time,throughput
64,1024,1048576,raftL2-fused,8,0.0108648627,98827003492.64423
64,1024,1048576,raftL2-fused,16,0.010888854,98609258972.52365
64,2048,524288,bits + MAGMA,4,0.0051782991,207354153026.81143
64,2048,524288,bits + MAGMA,8,0.0053983888,198900424511.84695
64,2048,524288,bits + MAGMA,16,0.005628428600000001,190771154847.73135
64,2048,524288,bits + zero computation,4,0.004225613855899032,254103157698.8601
64,2048,524288,bits + zero computation,8,0.004232028057899092,253718030530.506
64,2048,524288,bits + zero computation,16,0.004241598061899216,253145585303.1067
64,2048,524288,bits-fused,4,0.0023272971,461368608245.1613
64,2048,524288,bits-fused,8,0.0031265693999999998,343424912941.3216
64,2048,524288,bits-fused,16,0.0048172593,222894753454.52133
64,2048,524288,raftL2-fused,4,0.010803969600000001,99384010114.20839
64,2048,524288,raftL2-fused,8,0.0108050512,99374061642.57693
64,2048,524288,raftL2-fused,16,0.010825998600000001,99181781161.50873
64,4096,262144,bits + MAGMA,4,0.0050917399,210879158222.51642
64,4096,262144,bits + MAGMA,8,0.0053218435,201761255098.9145
64,4096,262144,bits + MAGMA,16,0.005550024400000001,193466144761.45364
64,4096,262144,bits + zero computation,4,0.0042251933552997795,254128446607.81625
64,4096,262144,bits + zero computation,8,0.004231353756700589,253758462595.96445
64,4096,262144,bits + zero computation,16,0.004239308059502208,253282330259.83066
64,4096,262144,bits-fused,4,0.0019808574999999997,542059095114.111
64,4096,262144,bits-fused,8,0.0026375252,407102015176.9545
64,4096,262144,bits-fused,16,0.0038466972,279133440500.59357
64,4096,262144,raftL2-fused,4,0.0106555382,100768427070.15962
64,4096,262144,raftL2-fused,8,0.0107191905,100170047728.884
64,4096,262144,raftL2-fused,16,0.0107484317,99897534260.74243
64,8192,131072,bits + MAGMA,4,0.005098447,210601742844.43872
64,8192,131072,bits + MAGMA,8,0.0053146226999999996,202035381363.94894
64,8192,131072,bits + MAGMA,16,0.0055614739,193067852750.32938
64,8192,131072,bits + zero computation,4,0.004253647005400932,252428521369.2276
64,8192,131072,bits + zero computation,8,0.004257526156902894,252198526662.97784
64,8192,131072,bits + zero computation,16,0.004265952559906817,251700366781.2598
64,8192,131072,bits-fused,4,0.0018451166000000001,581937111183.1089
64,8192,131072,bits-fused,8,0.0023497283000000002,456964247313.18933
64,8192,131072,bits-fused,16,0.0033974925999999996,316039488651.13055
64,8192,131072,raftL2-fused,4,0.0101247818,106050860671.38751
64,8192,131072,raftL2-fused,8,0.010116126,106141602427.6487
64,8192,131072,raftL2-fused,16,0.010127408899999999,106023350553.17062
128,1024,1048576,bits + MAGMA,4,0.0052210219,205657406646.77158
128,1024,1048576,bits + MAGMA,8,0.0055325497,194077212537.28638
128,1024,1048576,bits + MAGMA,16,0.0057386038,187108547901.49478
128,1024,1048576,bits + zero computation,4,0.004294790207498314,250010308332.48715
128,1024,1048576,bits + zero computation,8,0.0043149622610976586,248841533025.79684
128,1024,1048576,bits + zero computation,16,0.004334141168296347,247740390150.2506
128,1024,1048576,bits-fused,4,0.002869425,374201041672.112
128,1024,1048576,bits-fused,8,0.0038951974,275657871408.5196
128,1024,1048576,bits-fused,16,0.0061043092,175898990175.6615
128,2048,524288,bits + MAGMA,4,0.0051891084,206922218853.6281
128,2048,524288,bits + MAGMA,8,0.0053867700999999995,199329431935.47467
128,2048,524288,bits + MAGMA,16,0.005604062700000001,191600608608.4654
128,2048,524288,bits + zero computation,4,0.004258128255899032,252162865811.4004
128,2048,524288,bits + zero computation,8,0.004255950557899093,252291893289.76648
128,2048,524288,bits + zero computation,16,0.004262343861899215,251913467986.03012
128,2048,524288,bits-fused,4,0.0023237035,462082113316.09216
128,2048,524288,bits-fused,8,0.0031957370999999997,335991913727.822
128,2048,524288,bits-fused,16,0.004950699899999999,216886873712.54318
128,4096,262144,bits + MAGMA,4,0.0051198977,209719390291.724
128,4096,262144,bits + MAGMA,8,0.005336768,201197021118.39975
128,4096,262144,bits + MAGMA,16,0.0055461232,193602230833.96344
128,4096,262144,bits + zero computation,4,0.00426996035529978,251464120191.95813
128,4096,262144,bits + zero computation,8,0.004275639056700588,251130137450.98065
128,4096,262144,bits + zero computation,16,0.004274138959502207,251218276750.89316
128,4096,262144,bits-fused,4,0.0020619715,520735531019.7062
128,4096,262144,bits-fused,8,0.0027032513999999995,397203835351.75464
128,4096,262144,bits-fused,16,0.0039513518999999995,271740369163.27298
128,8192,131072,bits + MAGMA,4,0.0051790841,207322724108.68942
128,8192,131072,bits + MAGMA,8,0.0053958109,198995451082.24603
128,8192,131072,bits + MAGMA,16,0.0056092018,191425065862.3122
128,8192,131072,bits + zero computation,4,0.004334248005400932,247734283470.1669
128,8192,131072,bits + zero computation,8,0.004337095856902893,247571614607.2814
128,8192,131072,bits + zero computation,16,0.004339678259906817,247424292699.30618
128,8192,131072,bits-fused,4,0.0020511957,523471175373.4664
128,8192,131072,bits-fused,8,0.0026287707,408457772296.3817
128,8192,131072,bits-fused,16,0.0037179872000000004,288796535932.1301
256,1024,1048576,bits + MAGMA,4,0.0052300454,205302581885.80923
256,1024,1048576,bits + MAGMA,8,0.0054183901999999996,198166205158.12982
256,1024,1048576,bits + MAGMA,16,0.0056748939,189209145214.15103
256,1024,1048576,bits + zero computation,4,0.004291278407498314,250214906150.99924
256,1024,1048576,bits + zero computation,8,0.004292441761097658,250147091972.5243
256,1024,1048576,bits + zero computation,16,0.004315487868296346,248811225235.55795
256,1024,1048576,bits-fused,4,0.0028947585999999997,370926205729.2101
256,1024,1048576,bits-fused,8,0.0041655486,257767205980.9841
