hostname,GPU,algorithm,point_count,query_count,k,dim,block_size,items_per_thread,items_per_thread2,items_per_thread3,deg,time
hopper01,H100,baseline-dist,262144,4096,1,8,128,1,1,1,1,0.008377258299999999
hopper01,H100,baseline-dist,262144,4096,1,16,128,1,1,1,1,0.013174592700000001
hopper01,H100,baseline-dist,262144,4096,1,32,64,1,1,1,1,0.027031495500000002
hopper01,H100,baseline-dist,262144,4096,1,64,256,1,1,1,1,0.1485547857
hopper01,H100,baseline-dist,262144,4096,1,128,512,1,1,1,1,0.29126662589999996
hopper01,H100,baseline-dist,262144,4096,1,256,512,1,1,1,1,0.5742559612
hopper01,H100,baseline-dist,524288,2048,1,4,256,1,1,1,1,0.0059743960999999995
hopper01,H100,baseline-dist,524288,2048,1,8,128,1,1,1,1,0.0084552781
hopper01,H100,baseline-dist,524288,2048,1,16,128,1,1,1,1,0.016410901
hopper01,H100,baseline-dist,524288,2048,1,32,256,1,1,1,1,0.07615257889999999
hopper01,H100,baseline-dist,524288,2048,1,64,256,1,1,1,1,0.1481474062
hopper01,H100,baseline-dist,524288,2048,1,128,512,1,1,1,1,0.2911475764
hopper01,H100,baseline-dist,524288,2048,1,256,512,1,1,1,1,0.5737432437
hopper01,H100,baseline-dist,1048576,1024,1,4,256,1,1,1,1,0.0060382086
hopper01,H100,baseline-dist,1048576,1024,1,8,64,1,1,1,1,0.0128735995
hopper01,H100,baseline-dist,1048576,1024,1,16,64,1,1,1,1,0.0396532135
hopper01,H100,baseline-dist,1048576,1024,1,32,256,1,1,1,1,0.0761584191
hopper01,H100,baseline-dist,1048576,1024,1,64,256,1,1,1,1,0.14844132599999998
hopper01,H100,baseline-dist,1048576,1024,1,128,256,1,1,1,1,0.291089953
hopper01,H100,baseline-dist,1048576,1024,1,256,512,1,1,1,1,0.5739850299
hopper01,H100,cublas-dist,131072,8192,1,4,64,1,1,1,1,0.0100601289
hopper01,H100,cublas-dist,131072,8192,1,8,64,1,1,1,1,0.010098054700000001
hopper01,H100,cublas-dist,131072,8192,1,16,128,1,1,1,1,0.0102677642
hopper01,H100,cublas-dist,131072,8192,1,32,512,1,1,1,1,0.010769042900000001
hopper01,H100,cublas-dist,131072,8192,1,64,64,1,1,1,1,0.0118659444
hopper01,H100,cublas-dist,131072,8192,1,128,128,1,1,1,1,0.015882132299999997
hopper01,H100,cublas-dist,131072,8192,1,256,64,1,1,1,1,0.0226571579
hopper01,H100,cublas-dist,262144,4096,1,4,512,1,1,1,1,0.0101205015
hopper01,H100,cublas-dist,262144,4096,1,8,128,1,1,1,1,0.0101614239
hopper01,H100,cublas-dist,262144,4096,1,16,256,1,1,1,1,0.0103331434
hopper01,H100,cublas-dist,262144,4096,1,32,256,1,1,1,1,0.011008315000000001
hopper01,H100,cublas-dist,262144,4096,1,64,64,1,1,1,1,0.0122495827
hopper01,H100,cublas-dist,262144,4096,1,128,64,1,1,1,1,0.0161492085
hopper01,H100,cublas-dist,262144,4096,1,256,64,1,1,1,1,0.0253169166
hopper01,H100,cublas-dist,524288,2048,1,4,256,1,1,1,1,0.01029347
hopper01,H100,cublas-dist,524288,2048,1,8,64,1,1,1,1,0.0103121894
hopper01,H100,cublas-dist,524288,2048,1,16,64,1,1,1,1,0.0104237114
hopper01,H100,cublas-dist,524288,2048,1,32,64,1,1,1,1,0.0112881782
hopper01,H100,cublas-dist,524288,2048,1,64,256,1,1,1,1,0.0129710276
hopper01,H100,cublas-dist,524288,2048,1,128,128,1,1,1,1,0.0162082625
hopper01,H100,cublas-dist,524288,2048,1,256,64,1,1,1,1,0.0256585995
hopper01,H100,cublas-dist,1048576,1024,1,4,128,1,1,1,1,0.0103886591
