hostname,GPU,algorithm,point_count,query_count,k,dim,block_size,items_per_thread,items_per_thread2,items_per_thread3,deg,time,slowdown,category
hopper01,H100,magma-dist,524288,2048,1,256,256,1,1,1,1,0.0330549142,1.0,other
hopper01,H100,magma-dist,1048576,1024,1,256,256,1,1,1,1,0.033077782099999994,1.0,other
hopper01,H100,tiled-dist,131072,8192,1,4,16,1,1,1,1,0.0087842757,1.0,other
hopper01,H100,tiled-dist,262144,4096,1,4,16,1,1,1,1,0.008797257,1.0,other
hopper01,H100,tiled-dist,524288,2048,1,4,16,1,1,1,1,0.0088773228,1.0,other
hopper01,H100,tiled-dist,1048576,1024,1,4,16,1,1,1,1,0.0088736506,1.0,other
hopper01,H100,tiled-dist,131072,8192,1,8,16,1,1,1,1,0.008850041,1.0,other
hopper01,H100,tiled-dist,262144,4096,1,8,16,1,1,1,1,0.0088444401,1.0,other
hopper01,H100,tiled-dist,524288,2048,1,8,16,1,1,1,1,0.0092304448,1.0,other
hopper01,H100,tiled-dist,1048576,1024,1,8,16,1,1,1,1,0.0092037574,1.0,other
hopper01,H100,tiled-dist,131072,8192,1,16,16,1,1,1,1,0.0088447438,1.0,other
hopper01,H100,tiled-dist,262144,4096,1,16,16,1,1,1,1,0.0090586751,1.0,other
hopper01,H100,tiled-dist,524288,2048,1,16,16,1,1,1,1,0.0094801912,1.0,other
hopper01,H100,tiled-dist,1048576,1024,1,16,16,1,1,1,1,0.0093854851,1.0,other
hopper01,H100,tiled-dist,131072,8192,1,32,16,1,1,1,1,0.015264370499999999,1.0,other
hopper01,H100,tiled-dist,262144,4096,1,32,16,1,1,1,1,0.0162604889,1.0,other
hopper01,H100,tiled-dist,524288,2048,1,32,16,1,1,1,1,0.016315516699999998,1.0,other
hopper01,H100,tiled-dist,1048576,1024,1,32,16,1,1,1,1,0.0162967949,1.0,other
hopper01,H100,tiled-dist,131072,8192,1,64,16,1,1,1,1,0.0298842891,1.0,other
hopper01,H100,tiled-dist,262144,4096,1,64,16,1,1,1,1,0.0303923506,1.0,other
hopper01,H100,tiled-dist,524288,2048,1,64,16,1,1,1,1,0.0302592829,1.0,other
hopper01,H100,tiled-dist,1048576,1024,1,64,16,1,1,1,1,0.030197805700000004,1.0,other
hopper01,H100,tiled-dist,131072,8192,1,128,32,1,1,1,1,0.0573189431,1.0,other
hopper01,H100,tiled-dist,262144,4096,1,128,32,1,1,1,1,0.0573178506,1.0,other
