hostname,GPU,algorithm,point_count,query_count,k,dim,block_size,items_per_thread,items_per_thread2,items_per_thread3,deg,time,slowdown
hopper01,H100,cublas-dist,524288,2048,1,256,128,1,1,1,1,0.025749872099999998,1.00355719336903
hopper01,H100,cublas-dist,524288,2048,1,256,256,1,1,1,1,0.025755896299999997,1.0037919762534193
hopper01,H100,cublas-dist,1048576,1024,1,4,128,1,1,1,1,0.0103886591,1.0
hopper01,H100,cublas-dist,1048576,1024,1,4,512,1,1,1,1,0.01039054,1.0001810532025255
hopper01,H100,cublas-dist,1048576,1024,1,4,64,1,1,1,1,0.0103912361,1.0002480589626817
hopper01,H100,cublas-dist,1048576,1024,1,4,256,1,1,1,1,0.010391901,1.0003120614478533
hopper01,H100,cublas-dist,1048576,1024,1,8,256,1,1,1,1,0.010425740499999999,1.0
hopper01,H100,cublas-dist,1048576,1024,1,8,512,1,1,1,1,0.0104268644,1.0001078004962813
hopper01,H100,cublas-dist,1048576,1024,1,8,128,1,1,1,1,0.0104274013,1.0001592980373912
hopper01,H100,cublas-dist,1048576,1024,1,8,64,1,1,1,1,0.0104322336,1.00062279509067
hopper01,H100,cublas-dist,1048576,1024,1,16,128,1,1,1,1,0.0105405936,1.0
hopper01,H100,cublas-dist,1048576,1024,1,16,256,1,1,1,1,0.0105434048,1.0002667022472054
hopper01,H100,cublas-dist,1048576,1024,1,16,512,1,1,1,1,0.0105447552,1.000394816474093
hopper01,H100,cublas-dist,1048576,1024,1,16,64,1,1,1,1,0.0105450794,1.000425573755163
hopper01,H100,cublas-dist,1048576,1024,1,32,512,1,1,1,1,0.0113121258,1.0
hopper01,H100,cublas-dist,1048576,1024,1,32,256,1,1,1,1,0.0113130289,1.0000798346850068
hopper01,H100,cublas-dist,1048576,1024,1,32,128,1,1,1,1,0.0113132806,1.0001020851447744
hopper01,H100,cublas-dist,1048576,1024,1,32,64,1,1,1,1,0.0113204445,1.0007353790213331
hopper01,H100,cublas-dist,1048576,1024,1,64,64,1,1,1,1,0.0131552071,1.0
hopper01,H100,cublas-dist,1048576,1024,1,64,128,1,1,1,1,0.013186582899999999,1.0023850479708525
hopper01,H100,cublas-dist,1048576,1024,1,64,256,1,1,1,1,0.013194946499999999,1.0030208114321513
hopper01,H100,cublas-dist,1048576,1024,1,64,512,1,1,1,1,0.0131996318,1.0033769669806263
hopper01,H100,cublas-dist,1048576,1024,1,128,64,1,1,1,1,0.016321145500000002,1.0
hopper01,H100,cublas-dist,1048576,1024,1,128,256,1,1,1,1,0.0163717114,1.0030981832739618
